Team,season_off_eff,season_def_eff,season_possessions,last5_off_eff,last5_def_eff,last5_possessions,away_off_eff,home_off_eff,neutral_off_eff,away_def_eff,home_def_eff,neutral_def_eff,away_possessions,home_possessions,neutral_possessions,off_eff,def_eff,possessions,Elo,Power_Rating,Elo_Normalized,Overall_Rating,SOS_Rating,quality_win,bad_loss,Resume_Score,Difficulty_Adjusted_Effectiveness,Recent_Form,Tournament_Score,Tournament_Rank,projected_seed,tournament_status,bubble_status
Navy Midshipmen,112.65874458102259,98.48274361308596,65.91129032258064,123.38961169547508,103.18167683767953,63.17999999999999,105.03915520502395,119.84085379357501,112.13005111886979,98.12416844241525,99.5638662668893,92.8843499042558,66.07857142857144,65.68666666666667,66.425,115.26215734031278,98.81771786290982,65.30552419354838,1624.4574162971287,16.444439477402966,4.978296651885148,13.004596629747619,-4.408727495150141,0,2,-4.4,3.934721167658638,6.031933889858919,2.466493948472727,88,Outside Field,Locked Out,Out
Vanderbilt Commodores,121.30899459411422,104.75760876598537,71.73225806451612,116.3762585784309,117.66980225674236,69.525,116.93050509304368,125.18132383098089,118.17053000177422,111.2096280987772,101.27569895631879,97.51971708637302,71.42291666666667,71.1828125,75.89999999999999,119.60504090134239,106.89997338673277,71.80560483870967,1622.4215980453948,12.705067514609624,4.896863921815793,10.362606436771474,2.622998112131368,6,0,10.8,8.70007634508983,-17.84492950644031,7.036990919819333,22,5–6 Seed,Lock,Safe
Kansas Jayhawks,110.96950092555728,100.40253208874356,68.85483870967742,102.10051741542006,107.75210149653326,70.525,103.65381866285394,116.50854220637721,110.44687806104476,107.89058491138739,94.55251629943616,101.47886324684927,68.80681818181819,69.58,66.785,108.67386161834608,102.40137411440683,68.96190322580645,1618.2482270090766,6.272487503939246,4.729929080363063,5.809719976866391,4.829050602130617,7,0,12.6,7.349162712321414,-16.218552917926928,6.583010910256643,24,5–6 Seed,Lock,Safe
Louisville Cardinals,119.30853823353537,101.87439706833639,71.2046875,114.73806891433358,111.21497702380819,66.325,115.4327789090371,123.82082611435101,110.78965288243916,116.91698402689212,92.97217633349638,98.34172105537812,68.97954545454546,73.24558823529412,68.65,116.8880881010705,103.67964065526058,69.6015625,1617.5044285452425,13.20844744580991,4.7001771418097,10.655966354609847,2.3055068126070055,1,0,1.8,6.540306362736416,-13.911049274673587,4.818211633151846,43,11–12 Seed,Likely In,Safe
Texas Tech Red Raiders,118.98590369562386,106.50845804105747,68.30725806451613,126.04832398881179,115.53949254372314,63.85,113.77949736851417,124.52669544719923,111.668182744802,111.70133639719211,100.50420831558137,115.33630045031173,66.92,68.7078125,69.8,119.65385062629755,110.09039302811202,67.41685483870967,1617.2298741207258,9.563457598185536,4.6891949648290305,8.101178808178584,5.019432276311778,6,0,10.8,8.282184335983338,-1.9686142094777495,7.459430858839633,18,5–6 Seed,Lock,Safe
Liberty Flames,117.18498416696735,110.42105651994277,65.13103448275862,116.6866592459422,120.79753231734875,62.629999999999995,114.18642286763084,122.85316285752648,107.75908732065987,110.2246729046367,109.09398886958881,115.32317722951134,64.84166666666667,65.39615384615385,65.1375,115.64651840976492,113.75049357572956,64.50674568965518,1615.184120331253,1.8960248340353587,4.607364813250124,2.709426827799788,-0.07309591434575306,2,0,3.6,1.63282636359313,-10.874800718431146,1.6287732211729604,112,Outside Field,Locked Out,Out
Wisconsin Badgers,119.41146461042482,108.07233735893784,69.86370967741935,128.96594119270793,110.90916641738252,65.41,116.90544661658261,124.20998573802274,101.408577531458,120.34529858315237,100.61652470381068,105.32108458253849,69.5909090909091,68.97500000000001,75.89999999999999,119.09965069415057,108.3688567070891,69.65572580645161,1614.7438845306908,10.730793987061475,4.589755381227633,8.888482405311322,2.7729088150979013,7,1,10.399999999999999,7.862835680108855,6.717647523838437,7.167507455686593,21,5–6 Seed,Lock,Safe
Hofstra Pride,113.49945196124507,102.8274731960039,65.82265625,112.74939853337455,95.99291659484126,64.55499999999999,114.14337768410645,112.43712254698644,113.43476333203367,109.54264787566497,94.7047976338799,96.24123040940427,65.84264705882353,65.55,66.3,113.30223530989572,100.1308976277233,65.57734374999998,1614.0692323637736,13.171337682172421,4.562769294550944,10.588767165885978,-0.40030738142602146,0,1,-2.2,4.5784274893698615,6.084503173292106,3.4591223404267404,66,Bubble / First Four,Bubble,Bubble
TCU Horned Frogs,111.48399086044246,101.95230312595096,69.34609375,118.95625294585732,106.30714267525691,62.765,108.95562380164333,112.20129124675486,115.36897860979428,111.00087146137298,96.21862529541667,108.10370160126142,72.005,68.83947368421053,63.69166666666666,113.93480454419895,103.963722784574,66.85265625,1613.2973295008153,9.971081759624951,4.531893180032612,8.33932518574725,1.3921924968231647,4,1,5.0,5.725700077738088,3.1174225361089043,4.994693827720904,38,10 Seed,Likely In,Safe
Purdue Boilermakers,124.33738191648278,107.33197098793032,66.13951612903226,127.49012139595479,126.08368838878104,63.23,120.01112180141602,126.55506692168825,127.63345397556343,109.0235164070797,108.61930037443112,93.83477126087821,64.92727272727274,66.88382352941177,66.36666666666666,125.61997759521289,109.9953203790852,65.44620967741935,1611.6351573985678,15.624657216127687,4.465406295942712,12.276881940072194,3.916248460147271,7,0,12.6,10.77054984750262,-15.598977921378719,8.709811536833746,10,3 Seed,Lock,Safe
